"state","city","latitude","longitude","temp_f","pressure_mbar","dewpoint_f"
"tx","penwell",31,-103,44.5,1019.9,29.5
"ca","portola",39,-121,32.7,1020,27.9
"tx","midkiff",31,-102,45.9,1019.2,29.2
"ca","scotia",40,-125,32.5,1020.4,27.7
"tx","coleman",31,-100,46.5,1019,28.9
"ca","burney",40,-122,32.3,1020.8,27.6
"tx","hico",31,-99,46,1019.2,28.9
"ca","klamath",41,-125,32.1,1021.3,27.5
"tx","mcgregor",31,-98,44.3,1019.6,28.9
"ca","cecilville",41,-124,33.8,1021.7,28.3
"tx","franklin",31,-97,41.5,1020,28.8
"ca","callahan",41,-123,34.6,1020.2,28.8
"tx","jacksonville",31,-96,39.8,1020.5,29.2
"ca","tulelake",41,-122,33.8,1021.7,28.3
"tx","center",31,-95,38.5,1020.8,29.3
"ca","alturas",41,-121,36.6,1022,29.1
"tx","andrews",32,-103,37.4,1020.9,29.3
"tx","gail",32,-102,36.5,1020.9,29.3
"tx","rotan",32,-101,35.7,1020.8,29.2
"tx","putnam",32,-100,35,1020.4,29
"tx","breckenridge",32,-99,34.5,1020.1,28.7
"tx","burleson",32,-98,34,1019.9,28.5
"tx","ferris",32,-97,33.6,1020,28.3
"tx","emory",32,-96,33.1,1020.1,28.1
"tx","jefferson",32,-95,32.8,1019.9,28
"tx","littlefield",33,-103,32.5,1020.2,27.8
"tx","floydada",33,-102,32.4,1020.6,27.7
"tx","guthrie",33,-101,32.2,1021.1,27.6
"tx","munday",33,-100,33.8,1021.5,28.4
"tx","henrietta",33,-99,36.6,1021.9,29
"tx","bowie",33,-98,39.6,1021.8,29.4
"tx","sherman",33,-97,42.3,1021,29.4
"tx","dekalb",33,-95,44.3,1019.8,29.2
"tx","hereford",34,-103,45.6,1019.2,28.9
"tx","canyon",34,-102,46.2,1018.9,28.7
"tx","clarendon",34,-101,45.7,1019.1,28.6
"tx","vernon",34,-100,44.1,1019.5,28.7
"tx","bravo",35,-104,41.3,1019.9,28.6
"tx","dumas",35,-102,39.5,1020.4,28.9
"tx","canadian",35,-101,38.3,1020.7,29
"tx","gruver",36,-102,37.2,1020.9,29
"tx","follett",36,-101,36.4,1020.8,29
